trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++all+11,9:20:00,9:20:00,5_1,5,,0,0,1
1++all+11,9:20:00,9:20:00,6_1,6,,0,0,1
1++all+11,9:21:00,9:21:00,7_1,7,,0,0,1
1++all+11,9:21:00,9:21:00,8_1,8,,0,0,1
1++all+11,9:21:00,9:21:00,9_1,9,,0,0,1
1++all+11,9:22:00,9:22:00,10_1,10,,0,0,1
1++all+11,9:22:00,9:22:00,11_1,11,,0,0,1
1++all+11,9:25:00,9:25:00,1_1,12,,1,0,1
1++all+12,9:35:00,9:35:00,1_1,1,,0,1,1
1++all+12,9:35:00,9:35:00,2_1,2,,0,0,1
1++all+12,9:38:00,9:38:00,3_1,3,,0,0,1
1++all+12,9:39:00,9:39:00,4_1,4,,0,0,1
1++all+12,9:40:00,9:40:00,5_1,5,,0,0,1
1++all+12,9:40:00,9:40:00,6_1,6,,0,0,1
1++all+12,9:41:00,9:41:00,7_1,7,,0,0,1
1++all+12,9:41:00,9:41:00,8_1,8,,0,0,1
1++all+12,9:41:00,9:41:00,9_1,9,,0,0,1
1++all+12,9:42:00,9:42:00,10_1,10,,0,0,1
1++all+12,9:42:00,9:42:00,11_1,11,,0,0,1
1++all+12,9:45:00,9:45:00,1_1,12,,1,0,1
1++all+13,10:05:00,10:05:00,1_1,1,,0,1,1
1++all+13,10:05:00,10:05:00,2_1,2,,0,0,1
1++all+13,10:08:00,10:08:00,3_1,3,,0,0,1
1++all+13,10:09:00,10:09:00,4_1,4,,0,0,1
1++all+13,10:10:00,10:10:00,5_1,5,,0,0,1
1++all+13,10:10:00,10:10:00,6_1,6,,0,0,1
1++all+13,10:11:00,10:11:00,7_1,7,,0,0,1
1++all+13,10:11:00,10:11:00,8_1,8,,0,0,1
1++all+13,10:11:00,10:11:00,9_1,9,,0,0,1
1++all+13,10:12:00,10:12:00,10_1,10,,0,0,1
1++all+13,10:12:00,10:12:00,11_1,11,,0,0,1
1++all+13,10:15:00,10:15:00,1_1,12,,1,0,1
1++all+14,10:35:00,10:35:00,1_1,1,,0,1,1
1++all+14,10:35:00,10:35:00,2_1,2,,0,0,1
1++all+14,10:38:00,10:38:00,3_1,3,,0,0,1
1++all+14,10:39:00,10:39:00,4_1,4,,0,0,1
1++all+14,10:40:00,10:40:00,5_1,5,,0,0,1
1++all+14,10:40:00,10:40:00,6_1,6,,0,0,1
1++all+14,10:41:00,10:41:00,7_1,7,,0,0,1
1++all+14,10:41:00,10:41:00,8_1,8,,0,0,1
1++all+14,10:41:00,10:41:00,9_1,9,,0,0,1
1++all+14,10:42:00,10:42:00,10_1,10,,0,0,1
1++all+14,10:42:00,10:42:00,11_1,11,,0,0,1
1++all+14,10:45:00,10:45:00,1_1,12,,1,0,1
1++all+15,10:55:00,10:55:00,1_1,1,,0,1,1
1++all+15,10:55:00,10:55:00,2_1,2,,0,0,1
1++all+15,10:58:00,10:58:00,3_1,3,,0,0,1
1++all+15,10:59:00,10:59:00,4_1,4,,0,0,1
1++all+15,11:00:00,11:00:00,5_1,5,,0,0,1
1++all+15,11:00:00,11:00:00,6_1,6,,0,0,1
1++all+15,11:01:00,11:01:00,7_1,7,,0,0,1
1++all+15,11:01:00,11:01:00,8_1,8,,0,0,1
1++all+15,11:01:00,11:01:00,9_1,9,,0,0,1
1++all+15,11:02:00,11:02:00,10_1,10,,0,0,1
1++all+15,11:02:00,11:02:00,11_1,11,,0,0,1
1++all+15,11:05:00,11:05:00,1_1,12,,1,0,1
1++all+16,11:15:00,11:15:00,1_1,1,,0,1,1
1++all+16,11:15:00,11:15:00,2_1,2,,0,0,1
1++all+16,11:18:00,11:18:00,3_1,3,,0,0,1
1++all+16,11:19:00,11:19:00,4_1,4,,0,0,1
1++all+16,11:20:00,11:20:00,5_1,5,,0,0,1
1++all+16,11:20:00,11:20:00,6_1,6,,0,0,1
1++all+16,11:21:00,11:21:00,7_1,7,,0,0,1
1++all+16,11:21:00,11:21:00,8_1,8,,0,0,1
1++all+16,11:21:00,11:21:00,9_1,9,,0,0,1
1++all+16,11:22:00,11:22:00,10_1,10,,0,0,1
1++all+16,11:22:00,11:22:00,11_1,11,,0,0,1
1++all+16,11:25:00,11:25:00,1_1,12,,1,0,1
1++all+17,11:35:00,11:35:00,1_1,1,,0,1,1
1++all+17,11:35:00,11:35:00,2_1,2,,0,0,1
1++all+17,11:38:00,11:38:00,3_1,3,,0,0,1
1++all+17,11:39:00,11:39:00,4_1,4,,0,0,1
1++all+17,11:40:00,11:40:00,5_1,5,,0,0,1
1++all+17,11:40:00,11:40:00,6_1,6,,0,0,1
1++all+17,11:41:00,11:41:00,7_1,7,,0,0,1
1++all+17,11:41:00,11:41:00,8_1,8,,0,0,1
1++all+17,11:41:00,11:41:00,9_1,9,,0,0,1
1++all+17,11:42:00,11:42:00,10_1,10,,0,0,1
1++all+17,11:42:00,11:42:00,11_1,11,,0,0,1
1++all+17,11:45:00,11:45:00,1_1,12,,1,0,1
1++all+18,11:55:00,11:55:00,1_1,1,,0,1,1
1++all+18,11:55:00,11:55:00,2_1,2,,0,0,1
1++all+18,11:58:00,11:58:00,3_1,3,,0,0,1
1++all+18,11:59:00,11:59:00,4_1,4,,0,0,1
1++all+18,12:00:00,12:00:00,5_1,5,,0,0,1
1++all+18,12:00:00,12:00:00,6_1,6,,0,0,1
1++all+18,12:01:00,12:01:00,7_1,7,,0,0,1
1++all+18,12:01:00,12:01:00,8_1,8,,0,0,1
1++all+18,12:01:00,12:01:00,9_1,9,,0,0,1
1++all+18,12:02:00,12:02:00,10_1,10,,0,0,1
1++all+18,12:02:00,12:02:00,11_1,11,,0,0,1
1++all+18,12:05:00,12:05:00,1_1,12,,1,0,1
1++all+19,12:15:00,12:15:00,1_1,1,,0,1,1
1++all+19,12:15:00,12:15:00,2_1,2,,0,0,1
1++all+19,12:18:00,12:18:00,3_1,3,,0,0,1
1++all+19,12:19:00,12:19:00,4_1,4,,0,0,1
1++all+19,12:20:00,12:20:00,5_1,5,,0,0,1
1++all+19,12:20:00,12:20:00,6_1,6,,0,0,1
1++all+19,12:21:00,12:21:00,7_1,7,,0,0,1
1++all+19,12:21:00,12:21:00,8_1,8,,0,0,1
1++all+19,12:21:00,12:21:00,9_1,9,,0,0,1
